,Posição,Nome,Data
1,Drake,Drake,11/06/2026
2,Michael Jackson,Michael Jackson,11/06/2026
3,Morgan Wallen,Morgan Wallen,11/06/2026
4,Ella Langley,Ella Langley,11/06/2026
5,Paul McCartney,Paul McCartney,11/06/2026
6,Ariana Grande,Ariana Grande,11/06/2026
7,Noah Kahan,Noah Kahan,11/06/2026
8,Bruno Mars,Bruno Mars,11/06/2026
9,Luke Combs,Luke Combs,11/06/2026
10,Olivia Dean,Olivia Dean,11/06/2026
11,Aespa,aespa,11/06/2026
12,Taylor Swift,Taylor Swift,11/06/2026
13,Shinedown,Shinedown,11/06/2026
14,Olivia Rodrigo,Olivia Rodrigo,11/06/2026
15,Justin Bieber,Justin Bieber,11/06/2026
16,Fleetwood Mac,Fleetwood Mac,11/06/2026
17,Sabrina Carpenter,Sabrina Carpenter,11/06/2026
18,Riley Green,Riley Green,11/06/2026
19,CORTIS,CORTIS,11/06/2026
20,sombr,sombr,11/06/2026
21,Boards of Canada,Boards Of Canada,11/06/2026
22,BTS,BTS,11/06/2026
23,Bad Bunny,Bad Bunny,11/06/2026
24,Kendrick Lamar,Kendrick Lamar,11/06/2026
25,Alex Warren,Alex Warren,11/06/2026
26,Zara Larsson,Zara Larsson,11/06/2026
27,Billie Eilish,Billie Eilish,11/06/2026
28,Harry Styles,Harry Styles,11/06/2026
29,Don Toliver,Don Toliver,11/06/2026
30,The Weeknd,The Weeknd,11/06/2026
31,Chris Stapleton,Chris Stapleton,11/06/2026
32,Shaboozey,Shaboozey,11/06/2026
33,Rihanna,Rihanna,11/06/2026
34,SZA,SZA,11/06/2026
35,Teddy Swims,Teddy Swims,11/06/2026
36,Zach Bryan,Zach Bryan,11/06/2026
37,KATSEYE,KATSEYE,11/06/2026
38,Post Malone,Post Malone,11/06/2026
39,Le Sserafim,LE SSERAFIM,11/06/2026
40,Kehlani,Kehlani,11/06/2026
41,Tame Impala,Tame Impala,11/06/2026
42,41,Malcolm Todd,11/06/2026
43,Deftones,Deftones,11/06/2026
44,40,Stella Lefty,11/06/2026
45,"HUNTR/X: EJAE, Audrey Nuna & REI AMI","HUNTR/X: EJAE, Audrey Nuna & REI AMI",11/06/2026
46,Cody Johnson,Cody Johnson,11/06/2026
47,Linkin Park,Linkin Park,11/06/2026
48,Metallica,Metallica,11/06/2026
49,Kacey Musgraves,Kacey Musgraves,11/06/2026
50,Ye,Ye,11/06/2026
51,Mac Miller,Mac Miller,11/06/2026
52,Nirvana,Nirvana,11/06/2026
53,Benson Boone,Benson Boone,11/06/2026
54,Dominic Fike,Dominic Fike,11/06/2026
55,Jason Aldean,Jason Aldean,11/06/2026
56,Tucker Wetmore,Tucker Wetmore,11/06/2026
57,Frank Ocean,Frank Ocean,11/06/2026
58,Red Hot Chili Peppers,Red Hot Chili Peppers,11/06/2026
59,Alice in Chains,Alice In Chains,11/06/2026
60,Radiohead,Radiohead,11/06/2026
61,J. Cole,J. Cole,11/06/2026
62,Stray Kids,Stray Kids,11/06/2026
63,Gracie Abrams,Gracie Abrams,11/06/2026
64,Tate McRae,Tate McRae,11/06/2026
65,Katy Perry,Katy Perry,11/06/2026
66,Chappell Roan,Chappell Roan,11/06/2026
67,Eagles,Eagles,11/06/2026
68,Queen,Queen,11/06/2026
69,Hozier,Hozier,11/06/2026
70,"Tyler, The Creator","Tyler, The Creator",11/06/2026
71,Latto,Latto,11/06/2026
72,PinkPantheress,PinkPantheress,11/06/2026
73,Megan Moroney,Megan Moroney,11/06/2026
74,RAYE,RAYE,11/06/2026
75,Gorillaz,Gorillaz,11/06/2026
76,Creedence Clearwater Revival,Creedence Clearwater Revival,11/06/2026
77,Daniel Caesar,Daniel Caesar,11/06/2026
78,Pink Floyd,Pink Floyd,11/06/2026
79,Lady Gaga,Lady Gaga,11/06/2026
80,Bailey Zimmerman,Bailey Zimmerman,11/06/2026
81,74,Leon Thomas,11/06/2026
82,Prince,Prince,11/06/2026
83,The Killers,The Killers,11/06/2026
84,Coldplay,Coldplay,11/06/2026
85,Megadeth,Megadeth,11/06/2026
86,DaBaby,DaBaby,11/06/2026
87,Chris Brown,Chris Brown,11/06/2026
88,AC/DC,AC/DC,11/06/2026
89,Sublime,Sublime,11/06/2026
90,-,BossMan Dlow,11/06/2026
91,Djo,Djo,11/06/2026
92,Tyler Childers,Tyler Childers,11/06/2026
93,-,Dogstar,11/06/2026
94,Tems,Tems,11/06/2026
95,JENNIE,JENNIE,11/06/2026
96,-,Dexter And The Moonrocks,11/06/2026
97,Myles Smith,Myles Smith,11/06/2026
98,The Beatles,The Beatles,11/06/2026
99,Kane Brown,Kane Brown,11/06/2026
100,T.I.,T.I.,11/06/2026
